,POSTCODE,percentOver18,CategoryOver18,PercentOver65,CategoryOver65,NumberOfPeopleVaccinated,NumberOfPeopleVaccinatedCategory
165,85365,43.14,26-55,61.07,56-75,17731,"Greater Than 10,000"
166,85367,47.59,26-55,58.18,56-75,9027,"5,001-10,000"
167,85373,59.26,56-75,69.31,56-75,9890,"5,001-10,000"
168,85374,59.99,56-75,86.85,Greater Than 75,21211,"Greater Than 10,000"
169,85375,78.14,Greater Than 75,77.92,Greater Than 75,21931,"Greater Than 10,000"
170,85377,95.9,Greater Than 75,140.17,Greater Than 75,2439,"1,001-5,000"
171,85378,43.31,26-55,70.96,56-75,3205,"1,001-5,000"
172,85379,40.97,26-55,100.39,Greater Than 75,13575,"Greater Than 10,000"
173,85381,45.61,26-55,70.83,56-75,9928,"5,001-10,000"
174,85382,49.55,26-55,74.08,56-75,17420,"Greater Than 10,000"
175,85383,57.05,56-75,113.09,Greater Than 75,26971,"Greater Than 10,000"
176,85387,59.02,56-75,89.19,Greater Than 75,8273,"5,001-10,000"
177,85388,41.27,26-55,104.56,Greater Than 75,8735,"5,001-10,000"
178,85390,42.87,26-55,72.93,56-75,3812,"1,001-5,000"
179,85392,38.58,26-55,79.05,Greater Than 75,11673,"Greater Than 10,000"
180,85395,55.8,56-75,100.02,Greater Than 75,16754,"Greater Than 10,000"
181,85396,59.63,56-75,127.88,Greater Than 75,13060,"Greater Than 10,000"
182,85501,35.58,26-55,53.31,26-55,3960,"1,001-5,000"
183,85530,,0,,0,0,0
184,85531,51.01,26-55,113.16,Greater Than 75,101,"11-1,000"
185,85532,5.56,1-10,12.5,11-25,17,"11-1,000"
186,85533,45.92,26-55,69.97,56-75,1086,"1,001-5,000"
187,85534,33.12,26-55,54.09,26-55,776,"11-1,000"
188,85536,29.81,26-55,60,56-75,112,"11-1,000"
189,85539,43.69,26-55,72.54,56-75,1518,"1,001-5,000"
190,85540,48.01,26-55,50,26-55,1149,"1,001-5,000"
191,85541,44.53,26-55,64.49,56-75,9428,"5,001-10,000"
192,85542,,0,,0,0,0
193,85543,51.6,26-55,83.03,Greater Than 75,1475,"1,001-5,000"
194,85544,57.36,56-75,69.63,56-75,1459,"1,001-5,000"
195,85545,40.82,26-55,56,56-75,249,"11-1,000"
196,85546,29.05,26-55,59.31,56-75,4423,"1,001-5,000"
197,85550,,0,,0,0,0
198,85552,34.97,26-55,71.14,56-75,1705,"1,001-5,000"
199,85553,54.98,26-55,83.22,Greater Than 75,629,"11-1,000"
200,85554,30.8,26-55,50.69,26-55,162,"11-1,000"
201,85601,46.99,26-55,73.8,56-75,336,"11-1,000"
202,85602,36.73,26-55,59.85,56-75,3525,"1,001-5,000"
203,85603,64.83,56-75,93.47,Greater Than 75,3708,"1,001-5,000"
204,85605,57.26,56-75,75.58,Greater Than 75,276,"11-1,000"
205,85606,21.34,11-25,29.05,26-55,267,"11-1,000"
206,85607,62.69,56-75,87.76,Greater Than 75,9588,"5,001-10,000"
207,85609,33.02,26-55,54.55,26-55,107,"11-1,000"
208,85610,31.83,26-55,43.6,26-55,347,"11-1,000"
209,85611,36.68,26-55,52.2,26-55,345,"11-1,000"
210,85613,14.36,11-25,648,Greater Than 75,620,"11-1,000"
211,85614,80.39,Greater Than 75,98.16,Greater Than 75,17775,"Greater Than 10,000"
212,85615,40.33,26-55,64.47,56-75,3339,"1,001-5,000"
213,85616,33.05,26-55,65.21,56-75,1468,"1,001-5,000"
214,85617,40.98,26-55,68.24,56-75,359,"11-1,000"
215,85618,42.31,26-55,69.97,56-75,566,"11-1,000"
216,85619,60,56-75,100,Greater Than 75,27,"11-1,000"
217,85620,67.44,56-75,78.35,Greater Than 75,464,"11-1,000"
218,85621,74.67,56-75,91.7,Greater Than 75,12792,"Greater Than 10,000"
219,85622,85.5,Greater Than 75,86.96,Greater Than 75,5555,"5,001-10,000"
220,85623,49.86,26-55,87.97,Greater Than 75,2770,"1,001-5,000"
221,85624,48.3,26-55,72.86,56-75,710,"11-1,000"
222,85625,43.19,26-55,57.57,56-75,718,"11-1,000"
223,85626,52.66,26-55,69.44,56-75,476,"11-1,000"
224,85629,50.34,26-55,56.52,56-75,10360,"Greater Than 10,000"
225,85630,31.2,26-55,45.54,26-55,696,"11-1,000"
226,85631,34.14,26-55,55.2,56-75,1059,"1,001-5,000"
227,85632,39.52,26-55,56.03,56-75,262,"11-1,000"
228,85633,380,Greater Than 75,500,Greater Than 75,19,"11-1,000"
229,85634,0,0,0,0,0,0
230,85635,38.96,26-55,68.21,56-75,11157,"Greater Than 10,000"
231,85637,56.4,56-75,92.86,Greater Than 75,566,"11-1,000"
232,85638,42.59,26-55,69.44,56-75,719,"11-1,000"
233,85639,,0,,0,0,0
234,85640,35.8,26-55,40,26-55,29,"11-1,000"
235,85641,48.81,26-55,78.97,Greater Than 75,10566,"Greater Than 10,000"
236,85643,38.32,26-55,57.97,56-75,2630,"1,001-5,000"
237,85645,54.51,26-55,97.99,Greater Than 75,979,"11-1,000"
238,85646,108.41,Greater Than 75,153.24,Greater Than 75,1251,"1,001-5,000"
239,85648,69.96,56-75,90.53,Greater Than 75,10616,"Greater Than 10,000"
240,85650,49.47,26-55,88.31,Greater Than 75,5950,"5,001-10,000"
241,85653,44.63,26-55,68.85,56-75,6261,"5,001-10,000"
242,85658,67.14,56-75,86.11,Greater Than 75,8566,"5,001-10,000"
243,85701,72.96,56-75,89.8,Greater Than 75,3248,"1,001-5,000"
244,85704,61.84,56-75,79.76,Greater Than 75,17894,"Greater Than 10,000"
245,85705,37.97,26-55,57.65,56-75,18159,"Greater Than 10,000"
246,85706,40.06,26-55,71.54,56-75,16523,"Greater Than 10,000"
247,85707,234.24,Greater Than 75,13887.5,Greater Than 75,2595,"1,001-5,000"
248,85708,17.04,11-25,143.75,Greater Than 75,275,"11-1,000"
249,85710,48.41,26-55,68.78,56-75,22681,"Greater Than 10,000"
250,85711,49.8,26-55,70.28,56-75,16760,"Greater Than 10,000"
251,85712,55.24,56-75,72.78,56-75,15160,"Greater Than 10,000"
252,85713,42.1,26-55,66.59,56-75,17013,"Greater Than 10,000"
