,POSTCODE,Total Population,Total Case Count,% Cases Over Age 18,% Cases Over Age 65,Total Cases Category,Total Vaccinated,Total      Vaccinated Category,Median Household Income
198,85605,540,40,57.26,75.58,11-100,276,"11-1,000",27011
199,85606,1067,40,21.34,29.05,11-100,267,"11-1,000",41429
200,85607,15419,4208,62.69,87.76,Greater Than 1000,9588,"5,001-10,000",36218
201,85609,340,18,33.02,54.55,11-100,107,"11-1,000",131616
202,85610,1071,72,31.83,43.6,11-100,347,"11-1,000",41422
203,85611,1032,28,36.68,52.2,11-100,345,"11-1,000",64773
204,85613,5309,367,14.36,648,101-500,620,"11-1,000",73125
205,85614,23777,1752,80.39,98.16,Greater Than 1000,17775,"Greater Than 10,000",51449
206,85615,9391,545,40.33,64.47,501-1000,3339,"1,001-5,000",71473
207,85616,5341,296,33.05,65.21,101-500,1468,"1,001-5,000",45093
208,85617,1128,41,40.98,68.24,11-100,359,"11-1,000",30217
209,85618,1787,188,42.31,69.97,101-500,566,"11-1,000",37331
210,85619,41,1-10,60,100,1-10,27,"11-1,000",35278
211,85620,751,191,67.44,78.35,101-500,464,"11-1,000",37563
212,85621,22074,3990,74.67,91.7,Greater Than 1000,12792,"Greater Than 10,000",30196
213,85622,6142,304,85.5,86.96,101-500,5555,"5,001-10,000",61774
214,85623,5190,417,49.86,87.97,101-500,2770,"1,001-5,000",60753
215,85624,1289,61,48.3,72.86,11-100,710,"11-1,000",39013
216,85625,2141,84,43.19,57.57,11-100,718,"11-1,000",40823
217,85626,1077,160,52.66,69.44,101-500,476,"11-1,000",31875
218,85629,25770,3049,50.34,56.52,Greater Than 1000,10360,"Greater Than 10,000",82334
219,85630,1757,159,31.2,45.54,101-500,696,"11-1,000",38507
220,85631,3718,321,34.14,55.2,101-500,1059,"1,001-5,000",42105
221,85632,788,35,39.52,56.03,11-100,262,"11-1,000",43393
222,85633,41,1-10,380,500,1-10,19,"11-1,000",-
224,85635,33947,2609,38.96,68.21,Greater Than 1000,11157,"Greater Than 10,000",51861
